date,month_end,month_avg
1997-07-31,57.8879585266,56.2751241164
1997-08-31,54.8891830444,56.4057410104
1997-09-30,57.5288238525,57.0736178444
1997-10-31,56.1192016602,57.9884943755
1997-11-30,58.2907752991,57.3398395338
1997-12-31,59.4024887085,58.9033071345
1998-01-31,60.1674766541,58.9396766663
1998-02-28,64.3367919922,62.7519095571
1998-03-31,67.4753723145,66.0900684703
1998-04-30,68.3384704590,68.2841139294
1998-05-31,66.9191131592,68.1351573944
1998-06-30,69.7680664062,68.2570904818
1998-07-31,68.8253097534,71.2356817072
1998-08-31,59.1085243225,66.2625654311
1998-09-30,62.8701858521,63.0874463036
1998-10-31,67.9677734375,63.9541319067
1998-11-30,71.7523727417,70.8873054504
1998-12-31,76.4465026855,73.7585393732
1999-01-31,79.1394119263,77.4865774857
1999-02-28,76.6015625000,77.2785720825
1999-03-31,79.7780685425,79.6849010302
1999-04-30,82.8075714111,83.1580625262
1999-05-31,80.9141006470,82.9915863037
1999-06-30,85.3950271606,82.4437432723
1999-07-31,82.7458877563,86.1180550711
1999-08-31,82.3173980713,82.9384710138
1999-09-30,80.4785995483,82.4127876645
1999-10-31,85.6355361938,81.3715987433
1999-11-30,87.0614318848,87.0977587019
1999-12-31,92.0335159302,89.6585904902
2000-01-31,87.4513854980,89.4565578461
2000-02-29,86.1198501587,87.1429954529
2000-03-31,94.4661254883,90.7290602974
2000-04-30,91.1483764648,91.9295477616
2000-05-31,89.7153320312,89.2151780562
2000-06-30,91.4811019897,92.1541720304
2000-07-31,90.0446243286,92.8796730042
2000-08-31,95.9282531738,93.7996275529
2000-09-30,90.6653747559,92.6432117462
2000-10-31,90.2412719727,87.8744645552
2000-11-30,83.5044631958,86.9778427851
2000-12-31,83.0680389404,84.1544216156
2001-01-31,86.7611770630,84.6868020921
2001-02-28,78.4852447510,82.9079967298
2001-03-31,74.0871505737,75.3856919029
2001-04-30,80.4171905518,75.7042724609
2001-05-31,79.9664001465,80.9020025080
2001-06-30,78.0608139038,78.9668931507
2001-07-31,77.2649841309,76.8574549357
2001-08-31,72.6806106567,75.3216025311
2001-09-30,66.7477035522,66.8878590902
2001-10-31,67.6168594360,68.9447844132
2001-11-30,72.8894424438,72.5163196382
2001-12-31,73.3004913330,73.5431663513
2002-01-31,72.5822067261,73.3163452148
2002-02-28,71.2803878784,70.8463178936
2002-03-31,73.6519317627,74.3282657623
2002-04-30,69.3686523438,71.6830534502
2002-05-31,68.9570465088,69.6767633612
2002-06-30,63.8675117493,65.6090147018
2002-07-31,58.8334732056,58.4315752550
2002-08-31,59.2335853577,59.1720045263
2002-09-30,53.0228309631,56.3468700409
2002-10-31,57.3857612610,55.6883853415
2002-11-30,60.9253311157,59.2936439514
2002-12-31,57.4788208008,58.6844397045
2003-01-31,56.0651435852,58.5487845285
2003-02-28,55.3094596863,54.9096515053
